2016-01-16 09:14:50.222068|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2016-01-16 09:14:50.230587|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab111.12 #1 SMP Thu Sep 17 11:38:20 MSK 2015 x86_64 Binary: 64bit
2016-01-16 09:14:50.246858|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2016-01-16 09:14:50.246981|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2016-01-16 09:14:50.248862|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2016-01-16 09:14:50.694773|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 09:14:50.694913|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 09:14:50.814498|INFO    |Accounting    |   | Licensing Information
2016-01-16 09:14:50.814665|INFO    |Accounting    |   | type              : Non-profit
2016-01-16 09:14:50.814776|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2016-01-16 09:14:50.814831|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2016-01-16 09:14:50.814881|INFO    |Accounting    |   | max virtualservers: 10
2016-01-16 09:14:50.814929|INFO    |Accounting    |   | max slots         : 512
2016-01-16 09:14:52.479941|INFO    |              |   | Puzzle precompute time: 1610
2016-01-16 09:14:52.481219|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2016-01-16 09:14:52.739983|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2016-01-16 09:14:52.740961|INFO    |Query         |   | listening on 0.0.0.0:10011
2016-01-16 09:14:52.824944|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 09:14:52.825074|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 10:14:55.379066|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 10:14:55.379222|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 11:14:59.991117|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 11:14:59.991271|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 12:15:04.537563|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 12:15:04.537788|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 13:15:09.225306|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 13:15:09.225508|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 14:15:14.037167|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 14:15:14.037317|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 15:15:18.711956|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 15:15:18.712138|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 16:15:23.225979|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 16:15:23.226138|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 17:15:27.948659|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 17:15:27.948836|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 18:15:33.302844|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 18:15:33.303025|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 19:15:38.210925|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 19:15:38.211087|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 20:15:43.030777|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 20:15:43.030933|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 21:15:47.748019|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 21:15:47.748270|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 22:15:53.065181|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 22:15:53.065339|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-16 23:15:57.854768|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-16 23:15:57.854938|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 00:16:02.720046|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 00:16:02.720210|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 01:16:07.091094|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 01:16:07.091263|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 02:16:11.637385|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 02:16:11.646765|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 03:16:16.373719|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 03:16:16.373924|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 04:16:20.899006|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 04:16:20.899158|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 05:16:26.533246|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 05:16:26.533418|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 06:16:31.058543|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 06:16:31.058735|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 07:16:35.822038|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 07:16:35.822185|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 08:16:40.305365|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 08:16:40.305572|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 09:16:44.742226|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-17 09:16:44.742377|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-17 10:16:49.620768|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
